OTU	A1	A10	A11	A12	A2	A3	A4	A5	A6	A7	A8	A9	B1	B10	B11	B12	B2	B3	B4	B5	B6	B7	B8	B9	C1	C10	C11	C12	C2	C3	C4	C5	C6	C7	C8	C9	
08e91014e3d9c1c1329d013f141cd5bd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	78	54	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	
08ed17794e8af08e5f0fb28b4e415a5a	0	6	0	0	0	0	15	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0901a09f4bbe8a98df2e5ccaec60863d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
091bac4dccf8e9c2d36fbbad1cf17574	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
091f10c30ea65fb577e72b674612b491	0	11	7	7	0	0	10	0	0	0	0	0	0	50	44	29	12	0	0	0	0	0	0	0	0	51	0	18	0	0	16	8	8	0	20	36	
092446ab9b222a209b858b9a7c25e5fd	46	79	94	112	31	43	81	81	59	13	34	29	62	0	5	5	31	86	48	37	74	30	34	35	43	0	4	11	31	0	8	0	9	0	21	11	
0926571aa9e942e086a409231d9b60f5	42	66	81	96	30	52	61	57	45	0	49	106	0	1497	1140	1079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
092db5088ad0e257d1dc4d888d6b9428	22	0	0	0	22	7	0	0	0	0	15	6	0	154	115	121	0	0	0	0	0	0	0	0	0	0	31	24	0	0	0	0	0	0	0	10	
0940051587e16fdbfa2e7b517c31f11e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
09453c39fca4d45eb0422b8f8bc4d7cd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	32	0	0	0	0	0	0	0	0	0	
0947bae5bb8265e705dc6f2e98823aed	0	0	0	0	0	0	0	0	0	0	5	0	7	0	0	6	4	9	9	0	0	0	0	0	0	0	0	6	0	0	14	20	24	0	17	12	
0962aaed0befb269e2dc4c5691b37674	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0968f8206d50e7def79b9bafff279592	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
098049244c16236f19d23689d6542984	0	0	0	0	0	0	9	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	5	9	0	0	
